ManuscriptLocation,ResultID,SourceCode,SourceData,GraphProtocol,BinningConvention,SignConvention,CorrelationFunction,SeedCount,RegenerableFromStoredRawData,Status,Disposition
Schwarzschild calibration equations,sec:results-schwarzschild,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level convention stated but raw rows absent,C_log,Legacy safeCorrelation/Pearson described by code,10,No,removed,Exact legacy values removed; audited Schwarzschild construction results replace the quantitative claim
Schwarzschild common-bin figure,fig:flamm-control,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Claimed common radial bins,C_log,commonRadialBinnedComparison plus safeCorrelation,Unspecified,No,removed,Missing source figure and profile data
RN charge scan table,tab:rn-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations; not canonical common-bin audit,C_log,Legacy safeCorrelation/Pearson described by code,10,No,rerun required,Parameter definitions retained but numerical table removed pending raw-data regeneration
RN charge scan figure,fig:rn-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations,C_log,Legacy safeCorrelation/Pearson described by code,10,No,removed,Figure file and source rows absent
Bardeen parameter table,tab:bardeen-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations; not canonical common-bin audit,C_log,Legacy safeCorrelation/Pearson described by code,10,No,rerun required,Parameter definitions retained but numerical table removed pending raw-data regeneration
Bardeen parameter figure,fig:bardeen-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations,C_log,Legacy safeCorrelation/Pearson described by code,10,No,removed,Figure file and source rows absent
Hayward parameter table,tab:hayward-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations; not canonical common-bin audit,C_log,Legacy safeCorrelation/Pearson described by code,10,No,rerun required,Parameter definitions retained but numerical table removed pending raw-data regeneration
Hayward parameter figure,fig:hayward-scan,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level correlations,C_log,Legacy safeCorrelation/Pearson described by code,10,No,removed,Figure file and source rows absent
Cross-family radial-profile figure,fig:bh-family-radial-profile,code/CurvatureEstimator.wl,,Fixed radius graph for each BH family,Radially binned but common-bin pairing not documented,C_log,safeCorrelation/Pearson,1,No,removed,Figure and underlying binned profiles absent
Cross-family summary table,tab:bh-family-summary,code/CurvatureEstimator.wl,,Fixed radius graph for each BH family,Radially binned but common-bin pairing not documented,C_log,safeCorrelation/Pearson,1,No,removed,Single-realization values removed
Cross-family colored graph,fig:bh-family-3d,code/CurvatureEstimator.wl,,Fixed radius graph for each BH family,Binned only for coloring,C_log,None,1,No,removed,Figure and vertex-level source data absent
Three-model colored graph,fig:bh-family-graph-visualization,code/CurvatureEstimator.wl,,Fixed radius graph for BH families,Binned or smoothed coloring not reproducibly specified,C_log,None,1,No,removed,Figure absent
Three-model radial profiles,fig:bh-family-radial-profiles,code/CurvatureEstimator.wl,,Original family graph workflow,Radial bins; common-bin status not documented,C_log,safeCorrelation/Pearson,1,No,removed,Figure and profile rows absent
Construction protocol definitions,tab:protocol-summary,notebooks/ConstructionSensitivityMultiSeedAudit.wl,results/construction_audit_multiseed/schwarzschild_five_protocols_N1000_seeds10_config.json,Five audited protocols,12 common radial bins,C_log,None,10,Yes,valid,Retained and updated for paired ten-seed design
Legacy cross-family construction heatmap,fig:clog-construction-heatmap,Unknown legacy script,,Five protocols across three BH families,Radially binned; exact common-bin implementation not stored,C_log,Unknown,1,No,removed,Incompatible single-realization source and figure absent
Legacy cross-family construction table,tab:clog-construction-sweep,Unknown legacy script,,Five protocols across three BH families,Radially binned; exact common-bin implementation not stored,C_log,Unknown,1,No,removed,Stale 10^-3 claims removed
Legacy diagnostic protocol heatmap,fig:diagnostic-protocol-heatmap,Unknown legacy script,,Five protocols and multiple diagnostics,Radially binned; exact common-bin implementation not stored,Multiple diagnostics,Unknown,1,No,removed,Figure and raw diagnostic rows absent
Forman baseline equations,sec:baselines-forman,Unknown legacy script,,Original Flamm/control workflow,Vertex-level,Forman score,Legacy Pearson,1,No,removed,Exact values removed; method retained as future baseline
Forman baseline figure,fig:forman,Unknown legacy script,,Original Flamm/control workflow,Vertex-level,Forman score,Legacy Pearson,1,No,removed,Figure and raw scores absent
Ollivier baseline equations,sec:baselines-ollivier,Unknown legacy script,,Original Flamm/control workflow,Vertex-level,Ollivier curvature,Legacy Pearson,1,No,removed,Exact values removed; method retained as future baseline
Ollivier baseline figure,fig:ollivier,Unknown legacy script,,Original Flamm/control workflow,Vertex-level,Ollivier curvature,Legacy Pearson,1,No,removed,Figure and raw scores absent
Non-black-hole benchmark claims,sec:limitations,Unknown legacy script,,Surface-specific legacy constructions,Unspecified,C_log,Unspecified,Unspecified,No,removed,Qualitative numerical claims removed; benchmark motivation retained as future scope
Appendix single-seed Schwarzschild limits,app:graph-construction-limit-check,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy single-seed convention,C_log,Legacy Pearson,1,No,removed,Stale single-seed values removed
Appendix legacy matched-flat summary,app:graph-construction-control,code/CurvatureEstimator.wl,,Original calibrated BH radius versus matched-flat KNN,Legacy seed-level convention,C_log,Legacy Pearson,10,No,removed,Replaced by audited protocol-specific results
